Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Predicted_Prob,Predicted_Status
LP001002,1,0,0,0,0,0.07299082285068836,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,2,Y,0.8888065814971924,1
LP001003,1,1,1,0,0,-0.13441195378345122,-0.03873154846446157,-0.21124124943736647,0.2732312961117544,0.41173269183271005,0,N,0.06645288318395615,0
LP001005,1,1,0,0,1,-0.3937473372051281,-0.5544873301529852,-0.9489964681145835,0.2732312961117544,0.41173269183271005,2,Y,0.8470079898834229,1
LP001006,1,1,0,1,0,-0.4620624697931504,0.2519796016915365,-0.3064354712021687,0.2732312961117544,0.41173269183271005,2,Y,0.9931730628013611,1
LP001008,1,0,0,0,0,0.09772843680942066,-0.5544873301529852,-0.05655063906956289,0.2732312961117544,0.41173269183271005,2,Y,0.9048044085502625,1
LP001011,1,1,2,0,1,0.0022183113925933404,0.8805997122641535,1.4427583537260718,0.2732312961117544,0.41173269183271005,2,Y,0.943576991558075,1
LP001013,1,1,0,1,0,-0.5030187842943628,-0.03599544352181688,-0.6039174142171756,0.2732312961117544,0.41173269183271005,2,Y,0.9896761775016785,1
LP001014,1,1,3,0,0,-0.38784962791695354,0.30191351689480206,0.1457370821806418,0.2732312961117544,-2.428760260810931,1,N,0.48102816939353943,0
LP001018,1,1,2,0,0,-0.22893912765224944,-0.03257531234351103,0.26472985938664456,0.2732312961117544,0.41173269183271005,2,Y,0.9094523787498474,1
LP001020,1,1,1,0,0,1.2184570268205968,3.196712546212882,2.4184991268152944,0.2732312961117544,0.41173269183271005,1,N,0.25375497341156006,0
LP001024,1,1,2,0,0,-0.3609822856041582,-0.31507814767157505,-0.9013993572321825,0.2732312961117544,0.41173269183271005,2,Y,0.9769457578659058,1
LP001027,1,1,2,0,0,-0.4756599662075529,0.07481680665529297,-0.4373275261287717,0.2732312961117544,0.41173269183271005,2,Y,0.9955346584320068,1
LP001028,1,1,2,0,0,-0.38178809337077413,2.2178710029817448,0.6455067464458534,0.2732312961117544,0.41173269183271005,2,Y,0.9254075288772583,1
LP001029,1,0,0,0,0,-0.5816549081366906,0.41682992448587897,-0.3778311375257703,0.2732312961117544,0.41173269183271005,0,N,0.18029817938804626,0
LP001030,1,1,2,0,0,-0.6724141010713773,-0.18306108418896885,-1.532061076423997,-3.4548579441686273,0.41173269183271005,2,Y,0.9396063089370728,1
LP001032,1,0,0,0,0,-0.07428808409567142,-0.5544873301529852,-0.2469390825991673,0.2732312961117544,0.41173269183271005,2,Y,0.8804710507392883,1
LP001034,1,0,1,1,0,-0.29610748343423776,-0.5544873301529852,-0.5444210256141742,-1.5908133240284363,0.41173269183271005,2,Y,0.8875179886817932,1
LP001036,0,0,0,0,0,-0.31019645562265485,-0.5544873301529852,-0.8300036909085807,0.2732312961117544,-2.428760260810931,2,N,0.0040019904263317585,0
LP001038,1,1,0,1,0,-0.08460907534997694,-0.5544873301529852,-0.1517448608343651,0.2732312961117544,0.41173269183271005,0,N,0.11234162002801895,0
LP001041,1,1,0,0,0,-0.45927744040706797,0.6425585822540657,-0.36593185980517007,0.2732312961117544,0.41173269183271005,2,Y,0.9882704019546509,1
